model,term,beta,se,p_value,odds_ratio,ci_low,ci_high
Model 1: demographics,(Intercept),-6.44648720740364,0.5000374981628654,1.239152211785103e-6,0.001586083978331461,5.952311718226744e-4,0.004226361967261347
Model 1: demographics,RIDAGEYR,0.03465644680245908,0.007409140508147895,0.0015869572145207978,1.035263979446706,1.0203385983805044,1.050407687056983
Model 1: demographics,sexFemale,0.4617360852921649,0.31414623280649784,0.17981067845276494,1.5868264611168599,0.8572801385513092,2.937217491070979
Model 1: demographics,race_ethnicityMexican American,1.1535917077517037,0.5396489810935887,0.06501182393846942,3.169556610975553,1.1006266559355131,9.127608400179835
Model 1: demographics,race_ethnicityNon-Hispanic Asian,1.3766279478067736,0.3736478366447161,0.006180803103009408,3.961520625142378,1.9046117613323694,8.239813479073543
Model 1: demographics,race_ethnicityNon-Hispanic Black,1.499531417202487,0.35174768888766,0.0027498403417444213,4.479589519880932,2.24814615836155,8.92589754095513
Model 1: demographics,race_ethnicityOther Hispanic,1.1566323839953956,0.5815941122199765,0.08193423464997011,3.179208873731777,1.0168482820143556,9.939898843898703
Model 1: demographics,race_ethnicityOther/Multiracial,0.5547945763543134,0.4412724477459449,0.24412052397192366,1.7415831856578698,0.7333740396522079,4.135832233718859
Model 2: + socioeconomic and anthropometric,(Intercept),-12.249293937728696,1.6368882219197285,6.73201044592209e-4,4.788497176011885e-6,1.935761517712423e-7,1.1845315135601449e-4
Model 2: + socioeconomic and anthropometric,RIDAGEYR,0.03298726189209121,0.01002762592015631,0.02172218522861934,1.0335373738468587,1.0134223974302021,1.0540516036027632
Model 2: + socioeconomic and anthropometric,sexFemale,0.6602170475634491,0.4736180588118412,0.2221027872909416,1.9352123219409807,0.7648509140766843,4.89644015855451
Model 2: + socioeconomic and anthropometric,race_ethnicityMexican American,1.260409133412363,0.6081645184420313,0.09294602703656063,3.526864150189184,1.0708006902399598,11.61632677982513
Model 2: + socioeconomic and anthropometric,race_ethnicityNon-Hispanic Asian,1.9370546270362914,0.39381626195673736,0.004402548902262024,6.938285008408649,3.206483178726863,15.01327035715876
Model 2: + socioeconomic and anthropometric,race_ethnicityNon-Hispanic Black,1.4642254487807942,0.35080652648541294,0.008706279747969052,4.32419263418337,2.174164943659286,8.60037873026067
Model 2: + socioeconomic and anthropometric,race_ethnicityOther Hispanic,1.118767763246506,0.5417648302494276,0.09382927541463655,3.0610799031928324,1.0585591552531002,8.851853131902326
Model 2: + socioeconomic and anthropometric,race_ethnicityOther/Multiracial,0.6179578052007456,0.562311687562848,0.32186335130176275,1.8551356224147577,0.616206525837269,5.585023905542095
Model 2: + socioeconomic and anthropometric,INDFMPIR,0.08506265079664908,0.09804109645914434,0.42527437175077787,1.0887852778266713,0.8984377131930388,1.3194608416414446
Model 2: + socioeconomic and anthropometric,BMXBMI,-0.0034677147454374576,0.0513428651669914,0.9487691989723013,0.9965382908334567,0.901135422277967,1.1020414252353472
Model 2: + socioeconomic and anthropometric,BMXWAIST,0.052570971807757626,0.02568513884503705,0.09603989094682354,1.0539773621028836,1.0022305837301255,1.1083959099420984
Model 3: full model,(Intercept),-12.480489987226104,1.806277976876138,NA,3.800074115944931e-6,1.1021918950990802e-7,1.310167798446434e-4
Model 3: full model,RIDAGEYR,0.03156015749868695,0.015603808324332558,NA,1.0320634600844483,1.0009771703031027,1.0641151639042352
Model 3: full model,sexFemale,0.939917060183716,0.4160648609445102,NA,2.5597691027455745,1.1325026663129214,5.785785812499259
Model 3: full model,race_ethnicityMexican American,1.2247617407358673,0.5876347188398278,NA,3.403355105300234,1.0757280539268912,10.767429491580742
Model 3: full model,race_ethnicityNon-Hispanic Asian,1.689722624924607,0.40420478287604644,NA,5.4179776847218655,2.453415782456576,11.964740099108601
Model 3: full model,race_ethnicityNon-Hispanic Black,1.564891235233721,0.4792229727807306,NA,4.782154777661635,1.86939380260744,12.233379764934595
Model 3: full model,race_ethnicityOther Hispanic,0.7989867424189585,0.5894498385492205,NA,2.2232870243603173,0.7002380424261058,7.059035489650046
Model 3: full model,race_ethnicityOther/Multiracial,0.6071433059097529,0.596671725156198,NA,1.8351813517407485,0.5698778294661104,5.909846671754552
Model 3: full model,INDFMPIR,0.14584757344060792,0.11736183008459448,NA,1.157019814059692,0.9192642901056286,1.4562676528780427
Model 3: full model,BMXBMI,0.011899009606704666,0.05004602309634165,NA,1.011970084448501,0.917418807954169,1.116266031325865
Model 3: full model,BMXWAIST,0.038028692038429575,0.025956684562480674,NA,1.0387610366225126,0.9872357532079732,1.0929755002276211
Model 3: full model,sbp_mean,0.014051214106244748,0.011104137960905296,NA,1.0141503964146654,0.9923167717629583,1.0364644192406216
Model 3: full model,non_hdl,0.014530987195554242,0.003358452491954849,NA,1.0146370752217397,1.0079800928640201,1.0213380221521973
Model 3: full model,LBDHDD,-0.05083865492236477,0.011702149608602185,NA,0.9504320056879028,0.9288807909492376,0.9724832359950214
Model 3: full model,current_smoker,0.13827760974995837,0.6320567334054953,NA,1.1482942837193577,0.33268686134851966,3.9634260177206713
Model 3: full model,short_sleep,0.20715955016790638,0.3282727594622098,NA,1.2301788313628106,0.6464528216980582,2.3409905662690624
Model 3: full model,any_activity,-0.8576149720447085,0.3028015969170556,NA,0.42417254021988093,0.23431097286947808,0.7678784380994889
