group_var,group,weighted_proportion,se,ci_l,ci_u
sex,Male,1.5918655746245094,0.3322118995162386,0.9407422163370427,2.242988932911976
sex,Female,2.69485955798503,0.4271112026882234,1.8577369833225252,3.531982132647535
age_group,20-39,0.9655720115510577,0.2864347737428573,0.40417017109517844,1.5269738520069367
age_group,40-59,2.915007250234029,0.5082886048732292,1.91877989093039,3.9112346095376687
age_group,60+,3.02283276242959,0.5321020729072632,1.9799318634322483,4.065733661426932
race_ethnicity,Non-Hispanic White,1.3497089259295518,0.3590300302727491,0.6460229972266385,2.0533948546324647
race_ethnicity,Mexican American,2.854241370805206,0.7834424974943913,1.3187222917580879,4.389760449852324
race_ethnicity,Non-Hispanic Asian,4.224821510774045,0.8762714039004684,2.507361118446776,5.942281903101314
race_ethnicity,Non-Hispanic Black,4.7481465654726325,0.7239705175634096,3.3291904251795277,6.167102705765738
race_ethnicity,Other Hispanic,3.2360663142755013,1.397063404579976,0.4978723571798391,5.974260271371164
race_ethnicity,Other/Multiracial,1.793674987895719,0.6062741610044206,0.6053994675698171,2.981950508221621
obesity,0,0.8541895590240095,0.1579700599859021,0.5445739308160096,1.1638051872320094
obesity,1,4.083803805716023,0.4698543367316089,3.1629062277421154,5.004701383689931
