model,term,beta,se,odds_ratio,ci_low,ci_high,design_df,model_n
Main parsimonious model: waist circumference,(Intercept),-14.84245140302804,1.2378727784306611,3.5810077239173077e-7,1.1518202583849584e-8,1.1133348476381408e-5,15,3621
Main parsimonious model: waist circumference,RIDAGEYR,0.024599553047584113,0.014913518245794158,1.0249046184067956,0.9833334381853386,1.0682332523645903,15,3621
Main parsimonious model: waist circumference,sexFemale,0.621200655611141,0.3379535536746825,1.8611613146579729,0.728251492090714,4.756490685978455,15,3621
Main parsimonious model: waist circumference,race_ethnicityMexican American,1.1224591408439824,0.5837726701713172,3.0724003862055973,0.6075300549627874,15.537740159595074,15,3621
Main parsimonious model: waist circumference,race_ethnicityNon-Hispanic Asian,1.7894329630103447,0.42119000546629665,5.986057188002082,1.858969001871993,19.2756741085771,15,3621
Main parsimonious model: waist circumference,race_ethnicityNon-Hispanic Black,1.4107886715503428,0.40444047741806516,4.099187041752683,1.3335997802556103,12.599982882460003,15,3621
Main parsimonious model: waist circumference,race_ethnicityOther Hispanic,1.3183695199695415,0.6215261722111172,3.7373227766339916,0.6654686307521455,20.98909083206576,15,3621
Main parsimonious model: waist circumference,race_ethnicityOther/Multiracial,0.5731069195985282,0.5460064684717558,1.7737694583329795,0.3895161047849957,8.077350468093064,15,3621
Main parsimonious model: waist circumference,BMXWAIST,0.049939307606533624,0.007479760449820002,1.0512072941531774,1.0296018388855679,1.0732661243854487,15,3621
Main parsimonious model: waist circumference,sbp_mean,0.012405163176174617,0.009812762782954763,1.0124824263698493,0.9852701277655215,1.040446304844979,15,3621
Main parsimonious model: waist circumference,non_hdl,0.01568075431729962,0.0026175870024119047,1.015804342485504,1.0084486578507597,1.023213679922525,15,3621
Main parsimonious model: waist circumference,any_activityAny reported activity,-0.7391241196327185,0.293403933098549,0.4775319932989269,0.21145479606468606,1.0784186921647676,15,3621
Screening-oriented categorical model,(Intercept),-9.007158196914375,0.8279287564237469,1.225295666230057e-4,1.2300668590160306e-5,0.0012205429799833289,15,3707
Screening-oriented categorical model,RIDAGEYR,0.029970125466414792,0.011912114289308853,1.0304237500647637,0.9969016040221484,1.065073122977883,15,3707
Screening-oriented categorical model,sexFemale,0.46907270160778675,0.33664035712755846,1.598511208865208,0.6277641313095985,4.070379235489524,15,3707
Screening-oriented categorical model,race_ethnicityMexican American,1.0243916728619458,0.517294001657287,2.785400510355216,0.662425800931781,11.712188734457353,15,3707
Screening-oriented categorical model,race_ethnicityNon-Hispanic Asian,1.6307901844067816,0.3909694781254972,5.107909314580991,1.7250997770583498,15.124190445652552,15,3707
Screening-oriented categorical model,race_ethnicityNon-Hispanic Black,1.3400679313647887,0.33742422795621024,3.819302947015856,1.4966482161649348,9.746495431279401,15,3707
Screening-oriented categorical model,race_ethnicityOther Hispanic,1.0611165277832548,0.608396284806019,2.88959550246456,0.5336247730584451,15.64725363106204,15,3707
Screening-oriented categorical model,race_ethnicityOther/Multiracial,0.29359321984458164,0.5790287155894634,1.3412382035996038,0.2687299724797295,6.694154366911141,15,3707
Screening-oriented categorical model,obesityObesity,1.6221180184701558,0.24376747930003978,5.063804197279128,2.573613631928133,9.96346640003256,15,3707
Screening-oriented categorical model,measured_hypertensionMeasured hypertension,0.33233180662742906,0.3042269396504202,1.3942153816761922,0.5990935052268364,3.2446296171521514,15,3707
Screening-oriented categorical model,non_hdl,0.014886739554822039,0.00256523468309748,1.0149980989687677,1.0077947282229651,1.0222529569357757,15,3707
Screening-oriented categorical model,any_activityAny reported activity,-0.7452251861667591,0.2978210977567871,0.4746274083783821,0.20760685349404498,1.0850854535514705,15,3707
Alternative parsimonious model: BMI,(Intercept),-12.885955566604485,0.9525720408978746,2.5333815500557334e-6,1.799261142157997e-7,3.5670320042954665e-5,15,3707
Alternative parsimonious model: BMI,RIDAGEYR,0.029978653831666792,0.015920071288575418,1.0304325379323416,0.9858781125030712,1.0770004950549896,15,3707
Alternative parsimonious model: BMI,sexFemale,0.32866749046728394,0.345459585991409,1.389115884513326,0.5323351077805651,3.6248650754078415,15,3707
Alternative parsimonious model: BMI,race_ethnicityMexican American,1.0598887192879185,0.5306141339320528,2.886049809719817,0.6614424518781168,12.592604965909594,15,3707
Alternative parsimonious model: BMI,race_ethnicityNon-Hispanic Asian,1.5468818654095042,0.40023405335183665,4.696802064909426,1.545973775242145,14.269290973892627,15,3707
Alternative parsimonious model: BMI,race_ethnicityNon-Hispanic Black,1.2120477315129736,0.37421572592426766,3.3603587244751423,1.1889354310558953,9.497581165638032,15,3707
Alternative parsimonious model: BMI,race_ethnicityOther Hispanic,1.0768321301775992,0.6091079125315294,2.9353659495065285,0.5410072754319832,15.926538604573043,15,3707
Alternative parsimonious model: BMI,race_ethnicityOther/Multiracial,0.29034926460069715,0.5207044386435957,1.336894336360491,0.31494475851599374,5.674920500389893,15,3707
Alternative parsimonious model: BMI,BMXBMI,0.10094194201428089,0.013965063584152938,1.1062124154343984,1.0641418605133688,1.1499462181394304,15,3707
Alternative parsimonious model: BMI,sbp_mean,0.013454553002881531,0.010022716193112452,1.0135454728053048,0.9857298297032443,1.0421460267195035,15,3707
Alternative parsimonious model: BMI,non_hdl,0.015802542848589462,0.002707720212326814,1.0159280633381909,1.008319119466852,1.0235944255661982,15,3707
Alternative parsimonious model: BMI,any_activityAny reported activity,-0.7861058108135461,0.29612056720816726,0.4556155984599565,0.20023405729969862,1.0367146146837665,15,3707
